Node1, Node2, Distance
1035,1002,3098.247460413041
286,2306,9033.365974252107
615,130,1566.7204579185525
1158,1347,7914.997655087137
50,1566,25787.588235077186
1607,2517,14737.188174733135
2457,2156,2108.3740412531274
978,2077,18432.143541814916
1443,2099,31069.869200198424
1458,1725,4906.211089969685
2205,777,4844.281070608823
2261,1116,2087.1766554725828
1136,1152,15886.602792894522
365,1807,2121.198416270065
1311,977,1018.0707272956901
2042,2446,884.9251287253305
1690,446,17777.1807652072
2328,974,12704.985254739662
1903,150,4327.8603925285115
364,1549,4918.20174259261
83,347,4793.355660585286
167,946,4482.852739057661
648,757,12809.17301188566
667,965,898.9165058881189
1238,1533,2140.612495312179
914,272,4065.1850078032585
1012,1594,1772.1218463388711
1250,1827,35401.88334407698
176,187,4983.469372370617
1724,2270,4474.525913945974
2105,2071,5149.681409139457
384,2587,18951.557926794387
2204,86,3979.7917935614933
1693,1363,1740.485685595468
2256,2101,2662.521717324514
1232,2299,7670.095658116208
204,358,5817.101875076975
1846,1785,3038.297555983778
283,346,7124.21270844408
1003,1074,17219.977228504624
799,273,2761.4806344822864
315,1803,23549.134124072036
2211,901,1177.2152600112415
328,1516,2403.955760071871
95,1242,4994.075684141959
1715,1347,9269.610254459529
2044,1690,125931.82958064397
1020,1794,2616.914251311952
1088,2207,7391.988920215254
1414,561,13027.301325557797
0,1155,1396.2139325705018
1791,490,2962.5353454498595
534,1840,1559.5939348047723
1771,2329,4965.222979915181
2196,816,3700.0953364398715
810,6,5638.392101110982
2276,972,11806.327772585973
1480,2370,1182.4191248382008
1934,1335,14567.209704351237
999,1405,2706.906547315846
2487,2479,831.4385043944255
2158,240,2001.0299921399726
440,111,5136.7509327458065
157,1894,839.6225410771711
2567,1371,1874.916283525302
1630,1656,4733.476149722996
145,873,4034.5882375021192
1312,69,902.2200862733981
1814,769,1500.9196353296143
717,1728,120958.12914918124
904,938,2146.588979453431
1125,755,4474.222673495357
894,1217,14613.501356649489
464,1445,2292.031145513906
2150,156,2491.799093646611
240,1938,1313.9341474771472
1957,2127,32935.72530988822
1825,1824,7574.608779529797
1048,2077,8048.922149720235
305,442,8978.306369515776
314,2029,4550.568031124903
1849,2165,2892.696005591363
893,1823,4783.422572979451
1951,1949,1215.7397158146125
1598,772,7462.164954708612
695,1755,40434.69613699409
2321,116,5244.133689589576
1882,2255,6369.901392125764
2530,1074,4730.835038826632
12,2320,1464.4143095298302
964,1683,5990.038465949502
2167,1890,13473.649166949206
484,291,1462.4673580941717
1226,752,14114.57868036313
1408,1731,4374.594914785823
1464,1409,1339.049926193619
532,1338,2015.4709865878185
711,762,1076.3523195474686
2159,1722,16086.571366680317
1279,1061,4339.268092601337
1725,1963,6261.206716186742
2374,1511,2092.515955411681
1506,1948,4850.221770774759
2429,90,6862.255367575808
2521,759,1909.758218183349
1657,254,2863.955934503296
1684,2119,902.1158137964229
30,2407,12530.551625729386
2058,1636,4763.000156654871
1025,905,9154.436572937819
1610,1046,2226.944445278476
749,830,17413.404513008874
2030,669,3020.9621727922868
1053,2348,1766.5415717106591
1431,310,14025.63692990474
700,2459,5171.384418624564
2006,432,5033.392980820655
1718,1120,10680.327415754125
1468,1681,8965.683616790066
817,2112,2242.7630636237673
315,1748,4847.676151894769
299,311,755.6387938695417
1692,2445,19872.11501817441
1578,1373,771.8752019265081
1412,2275,6399.50907940837
431,122,10659.6528936642
2522,1608,8027.4654331131505
1082,734,3952.309273698343
539,919,10168.244885555607
615,1481,53187.43055126062
2585,1451,42119.338765892724
437,1775,4521.588309005351
307,809,1635.4782091764469
337,2341,4129.150024549981
2447,2373,3904.1860393011725
817,2127,8186.950440056708
2402,1364,17617.18698902366
994,2399,1339.1190445929055
1074,2239,12976.83245268071
2431,1347,12984.395038810915
1743,1107,3853.388605490664
1359,1356,1328.556233981503
1803,355,9794.51104752239
1456,1358,16218.46451927656
2150,1199,9750.232783480262
2540,199,2113.8871658777934
2447,2381,2452.946961502314
932,2064,5630.112962957004
1792,681,2773.1333183559072
2426,2359,1401.1367574437406
