Node1, Node2, Distance
4816,3091,4258.643407301869
3403,4113,20600.904580115213
4473,4314,55458.30934309183
3898,4598,43512.832412614836
4456,2630,5296.8202812764575
3831,2855,4113.453963387146
4346,4302,1982.430052175387
3507,3246,2754.259580431557
4879,2776,22890.690747789868
4533,4237,21847.049152122956
2836,5110,5755.546219777308
2950,4611,4347.733439821468
4169,3153,2000.8576425236265
3029,4939,984.6299589654866
3147,3926,4453.619089345977
4302,2925,5795.753264551455
3696,4034,3781.1868341580084
5167,4214,99338.8916743043
4768,4770,11832.057281414336
5102,4062,1803.7325270997974
3120,3425,13515.456847013695
3287,4968,13527.479234552604
4485,4479,2646.970002532997
4865,5005,3212.007863927913
3019,3930,3246.0582371255236
2925,4945,15430.870414044106
3727,4965,3343.4037891407493
3728,4160,2681.973743079236
3807,4345,24575.290413729923
4943,4976,2019.658021359031
2985,4980,2045.3208740398936
4600,3534,48536.90910058049
3061,2971,5084.140311201448
3489,3617,2543.6376525888877
4836,3529,4553.201028215405
2983,2918,1802.2364951235102
3264,4018,3596.4855755172425
3655,3171,3000.538096221723
3621,3135,1635.5173075596063
3190,4204,5125.305208077667
2793,2847,22756.392347290315
4032,4320,6385.478229060691
4709,4354,2149.6302239220427
4963,3674,3194.271232662722
3386,3069,947.4772050465538
3118,3224,1142.8079162927268
3000,2639,44856.99012480771
4051,4282,24654.815559990904
4815,4006,21618.646073377233
4638,3542,27945.666084347165
4051,4181,5189.265701199487
4198,4983,14737.188174733135
4040,4971,34079.11106301653
4416,4417,1238.616385766344
4854,4473,7681.457950163863
4767,4829,1595.828194488001
4310,4830,14329.28047727067
5069,3308,10434.024956796673
4909,4711,40032.72766540592
4093,4612,5450.211202225146
4102,3133,5811.369305879527
5076,3720,2342.0439336422824
2772,2623,2371.6923682676825
4078,5134,19718.190388619867
3153,3943,4044.629810552611
3687,4999,2425.435251194437
4613,2990,5033.392980820655
4237,4706,54057.550603353055
5137,4756,1456.153392556115
2897,4371,1511.0879344949522
4201,3602,2226.944445278476
3008,2997,970.1033326655564
4368,3819,17041.839131272467
4697,4073,4014.4422081432454
3683,4729,13910.188853221744
4040,3034,6572.175328946675
3591,5105,9208.253891778333
2979,3101,1308.034967368595
3389,4653,1877.2537476354644
4720,4408,3916.814599376398
3357,4829,4539.497213999537
2938,2721,3455.358254268114
2642,4310,12806.986503101749
4656,4692,28586.70876312615
3955,3643,51796.75618532379
2617,4684,1362.5818847941052
2844,4036,9517.22282230511
4479,3133,8633.645731032328
4840,3408,44992.65709669252
4139,4137,12795.666006766736
3032,3484,2477.455817433905
3285,5069,28849.45039122902
4662,4689,32935.72530988822
4445,3837,1442.0835151823148
3741,3058,10077.535109507406
4268,3268,50011.566572942334
5007,3632,3079.724765677575
4329,4259,1239.7541326912822
5138,5118,4570.203330289637
4864,3184,9214.47714458357
3871,4797,631.0246763033549
4319,2932,4900.584279828885
2806,4945,3394.4867076470946
3817,4242,2468.3318859722635
4147,3145,2605.9634259944164
4641,4029,20590.65376660788
3372,2676,2853.3314869347437
3555,3113,1721.431610758044
4906,4483,11949.289662460318
4006,4346,17076.522296782725
3096,3200,1480.9525863705903
5038,3453,637.1817624783315
4769,4768,11216.082891203687
3751,3454,1453.2688042643583
5073,3444,5520.8493165944155
4112,4406,3358.9379852115712
3223,3118,1215.1128417743832
3015,4728,11358.632301749592
4604,4982,930.270802620966
4280,2798,3738.9891186542877
3474,3205,701.755032375256
3728,2819,3193.9127703104423
3667,4971,10897.74002771061
4690,4689,5981.8886816689055
3767,3972,7598.545225638791
3157,3735,4720.800272767692
2633,4240,1802.8138483513953
4656,4456,3300.228481378839
4019,4257,18987.71258107856
4857,5173,1687.1399736638853
3021,3270,5576.265149992417
3232,4824,6845.6564450165715
5045,4915,1890.9895793180917
3396,4117,1658.6640955385828
4656,2857,25466.02982851157
4164,2678,11682.50470705107
3768,4597,3193.2637211860865
3194,4254,417.01549767127284
4576,4575,1476.5733208293682
5001,4826,1173.426824688247
4609,4928,6395.943306227702
3158,4056,2034.9001304223339
4987,4947,1597.6591624696748
3707,4416,3440.963207634342
4893,4689,4963.004384612239
4694,3481,13626.828890725099
3672,4911,1508.018448470632
4111,3822,2140.612495312179
4971,2980,2179.2440781762357
4617,4846,4951.560429547113
3545,4263,5822.098777040229
4719,3162,5494.841559067042
3098,4943,4092.3954251256723
4069,3375,13303.954318672773
2934,3892,2229.4225766023687
5134,4705,3020.1620390027715
2772,2915,5701.2287850920275
4159,3241,6211.261860700001
3300,3775,5078.555253058528
3900,3763,1675.2559871974631
4860,4359,1548.759415627754
2793,2808,6432.819159842339
3659,2997,3912.5835214616973
4419,4493,5803.008306973175
4659,4141,2195.4351835644748
5158,3374,1513.6726145699633
3283,4861,1954.5415698047839
4029,4150,13743.22294724573
3701,4807,7637.355215466148
4126,3506,2878.468860081595
4248,3580,2822.162122581799
3466,5105,14008.429713783906
2765,2610,22731.770837581113
3032,2856,4763.587110850167
5140,4578,43870.030529202835
5134,4253,5579.407941258649
3847,4281,4545.365131595951
3406,4003,2313.4683534444644
3295,4879,34439.39091724369
2990,3876,75879.41501977602
3719,4801,3195.299466995754
4929,2999,8199.984280980578
5055,2964,3364.6966882156635
3522,3193,41347.27875630432
3486,4413,1002.5325672616902
5034,4489,2022.7233436021486
4707,2662,2474.4544317247464
4708,4450,7294.508733789823
5080,2814,1703.7596446686
4616,5169,7287.348810685162
2731,4460,1313.9341474771472
4006,5079,1582.90855317847
4235,3695,3977.0251154441094
2595,3691,2526.0491189153777
2712,4935,11952.10685480609
2861,3487,1442.46552922956
4950,4205,1780.048776333864
2737,3603,20547.576829560356
4475,4476,1424.974672864408
5000,3672,1508.4858301596428
4484,4433,969.8577246252011
3408,3409,1383.6095799078041
2962,3977,1649.5060709779223
3278,2873,3197.7745444310767
3454,3876,3890.1918871090593
4282,4138,24708.78435395455
3388,3013,4826.646844418624
4463,4721,8139.247941598402
2714,5088,4267.629673505626
4227,4005,4588.869799113817
4026,4305,2332.1539884324447
4536,2608,10171.71167918176
4768,4753,44222.78030285193
2675,3889,4994.075684141959
3740,4966,3068.1910560718065
3344,4181,3332.5003018244174
4435,3099,3217.958645642952
4403,3291,1989.1352999495678
3651,2604,13921.269978346838
4936,3715,2671.271646884898
4844,3620,1786.0588204610488
